iter	MultiClass
0	1.37976369
1	1.241421677
2	1.130586729
3	1.051152182
4	0.9908233964
5	0.9391244507
6	0.8962128125
7	0.862012551
8	0.8325897683
9	0.8080262256
10	0.7882905544
11	0.7664199528
12	0.7476109375
13	0.7356727435
14	0.7243952986
15	0.7129639057
16	0.7041150446
17	0.6934385334
18	0.68429348
19	0.6768922403
20	0.6686386542
21	0.6625357174
22	0.656823125
23	0.6499939117
24	0.6437204861
25	0.6388891967
26	0.6350795118
27	0.631465719
28	0.6257569547
29	0.6233601901
30	0.6180820998
31	0.6143374257
32	0.6101924452
33	0.6065513112
34	0.6044449278
35	0.6013933178
36	0.5985443897
37	0.5962559771
38	0.5935661929
39	0.5908339603
40	0.5882767518
41	0.5860120234
42	0.5821006136
43	0.5800096351
44	0.5768967877
45	0.5752036215
46	0.5726523302
47	0.5702810185
48	0.5687138481
49	0.5670239428
50	0.5656391015
51	0.564197099
52	0.5623758185
53	0.5597297582
54	0.5569471626
55	0.5551548896
56	0.554214384
57	0.553229753
58	0.5511814434
59	0.5496534029
60	0.5474531508
61	0.5449374122
62	0.5433460907
63	0.5411830206
64	0.5403185236
65	0.5380302398
66	0.5368242402
67	0.5350807044
68	0.5337264655
69	0.5322949032
70	0.5302596991
71	0.5277033923
72	0.5254132809
73	0.5243874601
74	0.5226445248
75	0.5213656749
76	0.5191631232
77	0.5170470106
78	0.5151432746
79	0.5137392697
80	0.5113995086
81	0.5102033834
82	0.5090787566
83	0.5063300077
84	0.5052035927
85	0.5037720743
86	0.5024215811
87	0.5001882428
88	0.4984472914
89	0.4974552288
90	0.495726827
91	0.4937336427
92	0.4921979244
93	0.4902840429
94	0.4887186042
95	0.4873008009
96	0.4851562708
97	0.4839839647
98	0.4830756652
99	0.4820773327
100	0.4801807956
101	0.4775852984
102	0.4763521393
103	0.4754653461
104	0.4745723372
105	0.4739692959
106	0.4717643563
107	0.470522512
108	0.4695380096
109	0.4676274529
110	0.4665744562
111	0.4657640147
112	0.4647141944
113	0.4640404077
114	0.4625874399
115	0.4612325139
116	0.4600453501
117	0.4586468254
118	0.4572130527
119	0.4558265293
120	0.454782298
121	0.4535783785
122	0.452728253
123	0.4517140871
124	0.4498451944
125	0.448545318
126	0.4474574158
127	0.4464164774
128	0.4447772873
129	0.4431938344
130	0.4423853317
131	0.4415237371
132	0.44013075
133	0.4386253588
