iter	Passed	Remaining
0	216	107933
1	227	56571
2	238	39509
3	250	31003
4	263	26038
5	272	22395
6	284	20066
7	292	17971
8	304	16627
9	317	15536
10	326	14507
11	335	13659
12	346	12987
13	358	12458
14	372	12045
15	386	11678
16	394	11216
17	403	10803
18	410	10399
19	421	10111
20	432	9864
21	446	9698
22	456	9470
23	465	9228
24	473	8999
25	489	8917
26	502	8810
27	514	8667
28	525	8533
29	538	8441
30	552	8358
31	561	8216
32	573	8116
33	587	8057
34	599	7964
35	613	7901
36	622	7791
37	632	7687
38	646	7643
39	659	7580
40	670	7501
41	682	7442
42	696	7406
43	715	7411
44	729	7375
45	739	7303
46	747	7209
47	758	7139
48	766	7054
49	778	7006
50	788	6945
51	800	6893
52	811	6840
53	820	6779
54	829	6710
55	839	6658
56	847	6589
57	859	6548
58	869	6502
59	880	6457
60	891	6415
61	903	6383
62	914	6342
63	926	6310
64	935	6260
65	945	6218
66	952	6158
67	965	6130
68	973	6080
69	982	6035
70	993	6001
71	1004	5970
72	1015	5937
73	1023	5891
74	1031	5846
75	1043	5823
76	1056	5806
77	1065	5767
78	1075	5730
79	1085	5697
80	1093	5657
81	1102	5620
82	1112	5587
83	1122	5559
84	1135	5545
85	1150	5537
86	1162	5518
87	1177	5511
88	1189	5494
89	1201	5475
90	1213	5455
91	1225	5434
92	1239	5422
93	1253	5414
94	1269	5410
95	1280	5389
96	1293	5375
97	1305	5353
98	1317	5335
99	1325	5302
100	1341	5298
101	1355	5290
102	1372	5290
103	1383	5266
104	1394	5244
105	1405	5222
106	1412	5187
107	1419	5153
108	1429	5127
109	1440	5105
110	1451	5085
111	1459	5055
112	1466	5023
113	1477	5004
114	1485	4974
115	1496	4952
116	1505	4926
117	1516	4909
118	1528	4893
119	1539	4875
120	1548	4848
121	1562	4842
122	1573	4823
123	1583	4800
124	1595	4786
125	1607	4772
126	1618	4754
127	1630	4739
128	1641	4721
129	1671	4757
130	1685	4747
131	1698	4735
132	1712	4726
133	1725	4714
134	1735	4693
135	1747	4676
136	1754	4648
137	1764	4629
138	1775	4610
139	1783	4586
140	1793	4566
141	1800	4539
142	1810	4521
143	1822	4504
144	1832	4487
145	1845	4473
146	1855	4455
147	1867	4441
148	1878	4424
149	1886	4401
150	1897	4386
151	1906	4364
152	1913	4340
153	1921	4316
154	1931	4298
155	1938	4274
156	1947	4255
157	1956	4235
158	1966	4217
159	1977	4202
160	1988	4186
161	2002	4178
162	2015	4166
163	2032	4163
164	2045	4153
165	2056	4136
166	2066	4120
167	2080	4110
168	2093	4099
169	2108	4092
170	2123	4085
171	2133	4068
172	2144	4052
173	2158	4043
174	2169	4028
175	2177	4008
176	2187	3992
177	2202	3983
178	2215	3972
179	2230	3965
180	2244	3956
181	2257	3944
182	2268	3929
183	2279	3915
184	2292	3904
185	2302	3887
186	2313	3871
187	2323	3856
188	2334	3840
189	2341	3819
190	2354	3809
191	2365	3794
192	2377	3781
193	2390	3769
194	2399	3753
195	2411	3739
196	2423	3728
197	2446	3732
198	2457	3717
199	2470	3705
200	2479	3688
201	2489	3672
202	2496	3652
203	2514	3648
204	2527	3636
205	2537	3621
206	2549	3608
207	2559	3593
208	2573	3582
209	2589	3576
210	2597	3558
211	2610	3546
212	2622	3533
213	2636	3523
214	2652	3515
215	2662	3500
216	2674	3487
217	2687	3476
218	2698	3462
219	2708	3447
220	2721	3435
221	2735	3425
222	2749	3414
223	2761	3401
224	2768	3384
225	2781	3371
226	2790	3355
227	2801	3342
228	2812	3327
229	2824	3315
230	2834	3300
231	2846	3287
232	2857	3274
233	2866	3258
234	2876	3243
235	2884	3226
236	2892	3210
237	2903	3196
238	2912	3180
239	2920	3163
240	2931	3150
241	2940	3134
242	2950	3120
243	2962	3108
244	2972	3093
245	2982	3079
246	2995	3068
247	3002	3051
248	3010	3035
249	3023	3023
250	3031	3007
251	3045	2996
252	3059	2986
253	3069	2972
254	3084	2963
255	3096	2951
256	3110	2941
257	3126	2932
258	3139	2921
259	3153	2911
260	3164	2897
261	3179	2888
262	3193	2877
263	3203	2864
264	3214	2850
265	3228	2840
266	3241	2828
267	3249	2812
268	3263	2802
269	3276	2790
270	3289	2779
271	3299	2765
272	3309	2752
273	3320	2739
274	3331	2725
275	3340	2711
276	3354	2700
277	3365	2687
278	3380	2677
279	3391	2664
280	3403	2652
281	3415	2639
282	3424	2626
283	3436	2613
284	3446	2599
285	3454	2584
286	3463	2570
287	3475	2558
288	3487	2546
289	3498	2533
290	3511	2521
291	3524	2510
292	3535	2498
293	3544	2483
294	3555	2470
295	3568	2459
296	3580	2447
297	3591	2434
298	3600	2420
299	3610	2406
300	3620	2393
301	3629	2379
302	3639	2366
303	3651	2354
304	3665	2343
305	3674	2329
306	3687	2318
307	3701	2307
308	3713	2295
309	3726	2283
310	3740	2272
311	3752	2261
312	3765	2249
313	3779	2238
314	3788	2224
315	3797	2211
316	3809	2199
317	3817	2184
318	3830	2173
319	3841	2161
320	3849	2146
321	3858	2132
322	3867	2119
323	3881	2108
324	3895	2097
325	3905	2084
326	3914	2071
327	3924	2057
328	3935	2045
329	3945	2032
330	3958	2020
331	3968	2008
332	3981	1996
333	3995	1985
334	4008	1974
335	4019	1961
336	4032	1950
337	4042	1937
338	4053	1925
339	4064	1912
340	4072	1899
341	4085	1887
342	4092	1873
343	4155	1884
344	4167	1872
345	4174	1858
346	4183	1844
347	4195	1832
348	4205	1819
349	4214	1806
350	4224	1793
351	4235	1780
352	4244	1767
353	4255	1755
354	4271	1744
355	4281	1731
356	4295	1720
357	4304	1707
358	4318	1696
359	4333	1685
360	4346	1673
361	4361	1662
362	4375	1651
363	4391	1640
364	4402	1628
365	4413	1615
366	4421	1602
367	4432	1589
368	4441	1576
369	4451	1564
370	4461	1551
371	4469	1537
372	4478	1524
373	4485	1511
374	4494	1498
375	4508	1486
376	4516	1473
377	4528	1461
378	4537	1448
379	4549	1436
380	4561	1424
381	4572	1412
382	4583	1400
383	4594	1387
384	4606	1375
385	4617	1363
