iter	Passed	Remaining
0	17	17920
1	31	15591
2	43	14366
3	55	13708
4	65	13088
5	77	12827
6	87	12352
7	95	11861
8	106	11671
9	116	11507
10	125	11315
11	136	11236
12	145	11071
13	158	11178
14	169	11144
15	178	10964
16	187	10862
17	196	10706
18	207	10699
19	220	10802
20	236	11032
21	256	11423
22	267	11382
23	276	11261
24	287	11225
25	297	11149
26	309	11138
27	321	11174
28	332	11119
29	343	11094
30	355	11117
31	365	11070
32	377	11066
33	389	11071
34	402	11084
35	412	11051
36	423	11033
37	440	11150
38	454	11202
39	470	11295
40	482	11274
41	491	11211
42	504	11222
43	516	11228
44	525	11156
45	538	11178
46	552	11200
47	564	11196
48	573	11124
49	586	11148
50	597	11121
51	607	11068
52	620	11086
53	636	11143
54	653	11220
55	665	11215
56	674	11151
57	687	11167
58	700	11168
59	713	11176
60	722	11117
61	736	11138
62	747	11119
63	756	11062
64	769	11063
65	781	11062
66	790	11014
67	802	11005
68	816	11011
69	828	11006
70	837	10959
71	850	10955
72	867	11013
73	880	11020
74	890	10984
75	903	10980
76	916	10986
77	930	11001
78	945	11022
79	962	11068
80	973	11045
81	987	11050
82	1002	11076
83	1017	11093
84	1034	11134
85	1060	11275
86	1080	11337
87	1094	11339
88	1114	11403
89	1175	11886
90	1213	12122
91	1245	12287
92	1255	12240
93	1265	12197
94	1282	12213
95	1292	12174
96	1302	12128
97	1313	12094
98	1328	12086
99	1339	12059
100	1350	12019
101	1363	12004
102	1373	11964
103	1384	11928
104	1398	11916
105	1409	11891
106	1421	11860
107	1430	11816
108	1442	11793
109	1454	11764
110	1466	11744
111	1482	11751
112	1498	11761
113	1516	11788
114	1532	11790
115	1549	11807
116	1574	11880
117	1590	11885
118	1605	11884
119	1627	11932
120	1645	11954
121	1669	12014
122	1688	12040
123	1707	12065
124	1721	12052
125	1731	12012
126	1740	11964
127	1754	11952
128	1764	11915
129	1782	11929
130	1799	11937
131	1813	11927
132	1828	11916
133	1842	11906
134	1857	11899
